,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
27,801594,VT-RTE,IN,27.697765,79.666619,36062.99328,293.3,437.445184,0.0,1042,AXB1042,IX1042,VEGT,GAU,VIDP,DEL,AXB,IX,A21N,2025-12-04 14:32:32,en-route,adsb,Unknown
28,801597,VT-TVH,IN,24.652015,74.997745,31387.79628,202.0,484.66938,0.0,2999,AIC2999,AI2999,VIDP,DEL,VABB,BOM,AIC,AI,A21N,2025-12-04 14:32:32,en-route,adsb,Unknown
29,885102,HS-THB,TH,28.06357,77.292493,40262.46848,128.6,600.865757,0.0,961,THA961,TG961,ESSA,ARN,VTBS,BKK,THA,TG,A359,2025-12-04 14:32:32,en-route,adsb,Unknown
30,896409,A6-BLD,AE,40.234444,36.952311,39064.96188,109.0,567.311723,0.0,3,ETD3,EY3,EGLL,LHR,OMAA,AUH,ETD,EY,B789,2025-12-04 14:32:33,en-route,adsb,Unknown
31,896478,A6-EUN,AE,14.01543,100.465612,13129.92168,270.3,454.222201,0.0,377,UAE377,EK377,VTBS,BKK,OMDB,DXB,UAE,EK,A388,2025-12-04 14:32:32,en-route,adsb,Unknown
32,896515,A6-FNB,AE,23.673172,53.458637,38487.53404,61.2,589.681079,0.0,856,FDB856,FZ856,OERK,RUH,OMDB,DXB,FDB,FZ,B39M,2025-12-04 14:32:32,en-route,adsb,Unknown
33,48AE83,SP-LWD,PL,35.380275,27.756461,37063.64948,155.0,477.834299,0.0,149,LOT149,LO149,EPWA,WAW,HECA,CAI,LOT,LO,B738,2025-12-04 14:32:32,en-route,adsb,Unknown
34,4075FE,G-NEOS,UK,53.45302,6.940294,31938.9774,74.7,495.854058,0.0,970,BAW970,BA970,EGLL,LHR,EDDH,HAM,BAW,BA,A21N,2025-12-04 14:32:32,en-route,adsb,Unknown
35,4008AD,G-EUPN,UK,53.661851,7.317854,38064.30568,236.9,469.756476,0.0,817,BAW817,BA817,EKCH,CPH,EGLL,LHR,BAW,BA,A319,2025-12-04 14:32:32,en-route,adsb,Unknown
36,7C6B0E,VH-VFK,AU,-41.321808,174.807268,59.05512,3.7,14.912904000000001,0.0,253,JST253,JQ253,NZAA,AKL,NZWN,WLG,JST,JQ,A320,2025-12-04 14:32:32,landed,adsb,Unknown
37,76CC6E,9V-SCN,SG,20.604867,120.614516,39488.190239999996,19.9,603.351241,0.0,608,SIA608,SQ608,WSSS,SIN,RKSI,ICN,SIA,SQ,B78X,2025-12-04 14:32:32,en-route,adsb,Unknown
38,71C217,HL8217,KR,21.76826,121.003212,35065.61792,20.9,583.467369,0.0,438,KAL438,KE438,WIII,CGK,RKSI,ICN,KAL,KE,B77W,2025-12-04 14:32:32,en-route,adsb,Unknown
39,75026B,9M-XXZ,MY,13.836162,121.552957,41765.0932,222.3,536.864544,0.0,523,XAX523,D7523,RJTT,HND,WMKK,KUL,XAX,D7,A333,2025-12-04 14:32:32,en-route,adsb,Unknown
40,06A03E,A7-AEE,QA,22.416518,92.996781,36062.99328,263.0,475.970186,0.0,861,QTR861,QR861,ZUTF,TFU,OTHH,DOH,QTR,QR,A333,2025-12-04 14:32:32,en-route,adsb,Unknown
41,E8044D,CC-BEI,CL,-31.533269,-71.196312,37713.2558,3.8,487.15486400000003,0.0,136,LAN136,LA136,SCEL,SCL,SCFA,ANF,LAN,LA,A321,2025-12-04 14:32:32,en-route,adsb,Unknown
42,E0B2C5,LV-KKE,AR,-40.635616,-62.744881,38064.30568,221.0,444.280265,0.0,1892,ARG1892,AR1892,SABE,AEP,SAVT,REL,ARG,AR,B38M,2025-12-04 14:32:32,en-route,adsb,Unknown
43,E07584,LV-GVD,AR,-29.392393,-50.941471,41712.59976,237.6,462.921395,0.0,1265,ARG1265,AR1265,SBGL,GIG,SABE,AEP,ARG,AR,B38M,2025-12-04 14:32:32,en-route,adsb,Unknown
