hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
4075FE,G-NEOS,UK,53.45302,6.940294,9735,74.7,798,0,970,BAW970,BA970,EGLL,LHR,EDDH,HAM,BAW,BA,A21N,1764876752,en-route,adsb,
4008AD,G-EUPN,UK,53.661851,7.317854,11602,236.9,756,0,817,BAW817,BA817,EKCH,CPH,EGLL,LHR,BAW,BA,A319,1764876752,en-route,adsb,
7C6B0E,VH-VFK,AU,-41.321808,174.807268,18,3.7,24,0,253,JST253,JQ253,NZAA,AKL,NZWN,WLG,JST,JQ,A320,1764876752,landed,adsb,
76CC6E,9V-SCN,SG,20.604867,120.614516,12036,19.9,971,0,608,SIA608,SQ608,WSSS,SIN,RKSI,ICN,SIA,SQ,B78X,1764876752,en-route,adsb,
71C217,HL8217,KR,21.76826,121.003212,10688,20.9,939,0,438,KAL438,KE438,WIII,CGK,RKSI,ICN,KAL,KE,B77W,1764876752,en-route,adsb,
75026B,9M-XXZ,MY,13.836162,121.552957,12730,222.3,864,0,523,XAX523,D7523,RJTT,HND,WMKK,KUL,XAX,D7,A333,1764876752,en-route,adsb,
06A03E,A7-AEE,QA,22.416518,92.996781,10992,263.0,766,0,861,QTR861,QR861,ZUTF,TFU,OTHH,DOH,QTR,QR,A333,1764876752,en-route,adsb,
E8044D,CC-BEI,CL,-31.533269,-71.196312,11495,3.8,784,0,136,LAN136,LA136,SCEL,SCL,SCFA,ANF,LAN,LA,A321,1764876752,en-route,adsb,
E0B2C5,LV-KKE,AR,-40.635616,-62.744881,11602,221.0,715,0,1892,ARG1892,AR1892,SABE,AEP,SAVT,REL,ARG,AR,B38M,1764876752,en-route,adsb,
E07584,LV-GVD,AR,-29.392393,-50.941471,12714,237.6,745,0,1265,ARG1265,AR1265,SBGL,GIG,SABE,AEP,ARG,AR,B38M,1764876752,en-route,adsb,
E485AF,PT-MXG,CL,-28.883762,-50.488112,9270,217.9,734,0,3218,LAN3218,LA3218,SBGR,GRU,SBPA,POA,TAM,JJ,A321,1764876752,en-route,adsb,
E491AF,PT-XPG,CL,-21.996336,-49.062681,10924,194.0,817,0,3953,LAN3953,LA3953,SBBR,BSB,SBPA,POA,TAM,JJ,A321,1764876752,en-route,adsb,
E49A8B,PS-AEL,BR,-24.321828,-47.5308,8562,226.0,691,0,6024,AZU6024,AD6024,SBSP,CGH,SBCT,CWB,AZU,AD,E295,1764876752,en-route,adsb,
E48799,PR-MYK,CL,-23.316218,-46.335235,2090,44.7,533,0,3604,LAN3604,LA3604,SBGR,GRU,SBBE,BEL,TAM,JJ,A320,1764876752,en-route,adsb,
E49369,PR-YRL,BR,-25.094193,-45.514759,12425,45.6,912,0,2663,AZU2663,AD2663,SBPA,POA,SBGL,GIG,AZU,AD,A20N,1764876752,en-route,adsb,
E4956E,PR-GZH,BR,-22.079462,-45.372984,10284,35.9,923,0,1650,GLO1650,G31650,SBGR,GRU,SBPS,BPS,GLO,G3,B738,1764876752,en-route,adsb,
E48CE7,PR-MYX,CL,-17.160034,-40.339287,10367,191.2,829,0,3517,LAN3517,LA3517,SBFZ,FOR,SBGL,GIG,TAM,JJ,A320,1764876752,en-route,adsb,
E4966D,PS-AEH,BR,-6.188302,-39.717433,12318,112.7,773,0,4161,AZU4161,AD4161,SBTE,THE,SBRF,REC,AZU,AD,E295,1764876752,en-route,adsb,
E48045,PR-MHJ,CL,-13.430783,-38.580902,11297,34.0,884,0,3976,LAN3976,LA3976,SBSP,CGH,SBRF,REC,TAM,JJ,A320,1764876752,en-route,adsb,
E49B52,PS-GRB,BR,-9.270011,-37.689506,11975,23.7,897,0,1588,GLO1588,G31588,SBGR,GRU,SBSG,NAT,GLO,G3,B38M,1764876752,en-route,adsb,
E8046D,CC-BGR,CL,-1.416046,-37.250999,12890,204.5,835,0,8067,LAN8067,LA8067,LFPG,CDG,SBGR,GRU,TAM,JJ,B789,1764876752,en-route,adsb,
E49312,PR-YRI,BR,-6.66153,-37.003989,11907,129.0,790,0,4017,AZU4017,AD4017,SBSL,SLZ,SBRF,REC,AZU,AD,A20N,1764876752,en-route,adsb,
008DF3,ZS-FGS,ZA,-32.158141,20.850911,11564,229.0,735,0,115,SFR115,FA115,FAOR,JNB,FACT,CPT,SFR,FA,B738,1764876752,en-route,adsb,
008DEA,ZS-FGJ,ZA,-29.506948,31.096135,1876,320.8,485,0,561,SFR561,FA561,FALE,DUR,FAOR,JNB,SFR,FA,B738,1764876752,en-route,adsb,
