,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type
84,3C65AD,D-AIMM,DE,42.741336,-118.431154,38064.30568,212.6,614.535919,0.0,458,DLH458,LH458,EDDM,MUC,KSFO,SFO,DLH,LH,A388,2025-12-02 20:54:24,en-route,adsb
85,C060C7,C-GKQW,CA,47.010984,-85.598931,38064.30568,305.0,457.950427,0.0,225,POE225,PD225,CYYZ,YYZ,CYQT,YQT,POE,PD,E295,2025-12-02 20:54:24,en-route,adsb
86,C045F1,C-GAMQ,CA,44.98409,-116.681917,35613.5182,313.3,464.785508,0.0,2153,WJA2153,WS2153,MMPR,PVR,CYVR,YVR,WJA,WS,B38M,2025-12-02 20:54:24,en-route,adsb
87,C043B7,C-FZQS,CA,49.87924,-94.725748,28038.05864,107.3,590.923821,0.0,270,ACA270,AC270,CYWG,YWG,CYYZ,YYZ,ACA,AC,A320,2025-12-02 20:54:24,en-route,adsb
88,A1CB05,N2142J,US,46.5808,-94.568003,34064.96172,282.3,450.493975,0.0,603,JBU603,B6603,KJFK,JFK,CYVR,YVR,JBU,B6,A21N,2025-12-02 20:54:24,en-route,adsb
89,C060C4,C-GKQT,CA,48.584661,-90.596419,32063.64932,293.8,450.493975,0.0,309,POE309,PD309,CYYZ,YYZ,CYVR,YVR,POE,PD,E295,2025-12-02 20:54:24,en-route,adsb
90,A6705C,N514AS,US,38.882977,-119.569837,32365.4866,350.2,392.085101,0.0,683,ASA683,AS683,KSAN,SAN,KSEA,SEA,ASA,AS,B738,2025-12-02 20:54:24,en-route,adsb
91,A126E7,N17311,US,34.443362,-119.260719,29812.99308,127.3,535.000431,0.0,1434,UAL1434,UA1434,KSFO,SFO,KSAN,SAN,UAL,UA,B38M,2025-12-02 20:54:24,en-route,adsb
92,E84074,HC-CPZ,CL,12.132551,-80.062352,40413.38712,350.4,527.543979,0.0,1451,LAN1451,LA1451,SEQM,UIO,KMIA,MIA,LNE,XL,A319,2025-12-02 20:54:24,en-route,adsb
93,A62C1A,N497WN,US,36.038483,-115.710174,13507.21828,160.8,379.03631,0.0,1662,SWA1662,WN1662,KRNO,RNO,KLAS,LAS,SWA,WN,B737,2025-12-02 20:54:24,en-route,adsb
94,A2B47F,N27334,US,36.073563,-114.870294,6256.56188,269.0,211.26614,0.0,1496,UAL1496,UA1496,KDEN,DEN,KLAS,LAS,UAL,UA,B38M,2025-12-02 20:54:24,en-route,adsb
95,ABF025,N8689C,US,36.220402,-114.021575,23914.04276,82.6,561.719384,0.0,1094,SWA1094,WN1094,KLAS,LAS,KMDW,MDW,SWA,WN,B738,2025-12-02 20:54:24,en-route,adsb
96,A3A086,N33266,US,33.72004,-116.783166,25662.73048,100.8,478.45567,0.0,259,UAL259,UA259,KDEN,DEN,KMCO,MCO,UAL,UA,A21N,2025-12-02 20:54:24,en-route,adsb
97,AAADDC,N7877H,US,34.395174,-116.595801,29639.10856,229.0,516.980672,0.0,1218,SWA1218,WN1218,KSLC,SLC,KLAX,LAX,SWA,WN,B737,2025-12-02 20:54:24,en-route,adsb
98,A3B186,N337TN,US,18.079184,-78.630664,35065.61792,179.3,528.16535,0.0,2259,AAL2259,AA2259,KMIA,MIA,SEQM,UIO,AAL,AA,B38M,2025-12-02 20:54:24,en-route,adsb
99,A44168,N37307,US,21.25616,-71.15836,37063.64948,124.3,554.884303,0.0,437,UAL437,UA437,KIAH,IAH,SYCJ,GEO,UAL,UA,B38M,2025-12-02 20:54:24,en-route,adsb
