hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type
800D7A,VT-SYJ,IN,19.092126,73.108478,1191,266.8,340,0,655,SEJ655,SG655,VOBL,BLR,VABB,BOM,SEJ,SG,B738,1764726864,en-route,adsb
89408F,A9C-FE,BH,23.895093,73.122079,11716,95.0,1030,0,154,GFA154,GF154,OBBI,BAH,RPLL,MNL,GFA,GF,B789,1764726864,en-route,adsb
8003B3,VT-AXP,IN,11.605664,74.694651,9956,141.7,868,0,472,AXB472,IX472,OBBI,BAH,VOCI,COK,AXB,IX,B738,1764726864,en-route,adsb
800CBA,VT-TNK,IN,23.241383,76.979916,11731,177.7,769,0,2803,AIC2803,AI2803,VIDP,DEL,VOBL,BLR,AIC,AI,A20N,1764726864,en-route,adsb
800CC3,VT-IYI,IN,10.17435,77.918748,3629,186.8,437,0,7171,IGO7171,6E7171,VOBL,BLR,VOMD,IXM,IGO,6E,AT76,1764726864,en-route,adsb
800CC7,VT-EXN,IN,19.659972,78.000738,11510,334.8,848,0,2884,AIC2884,AI2884,VOCI,COK,VIDP,DEL,AIC,AI,A20N,1764726864,en-route,adsb
80057C,VT-EDD,IN,22.468744,78.177208,11229,150.0,831,0,415,AIC415,AI415,VIDP,DEL,VANP,NAG,AIC,AI,A320,1764726864,en-route,adsb
76BCC5,9V-OFE,SG,13.013261,82.606633,13141,120.0,922,0,597,TGW597,TR597,OEJN,JED,WSSS,SIN,TGW,TR,B788,1764726864,en-route,adsb
800DBA,VT-IJG,IN,23.736918,87.387274,11838,58.9,999,0,6312,IGO6312,6E6312,VOMM,MAA,VEGT,GAU,IGO,6E,A20N,1764726864,en-route,adsb
89627B,A6-AED,AE,22.645888,58.048096,10817,298.5,728,0,341,ETD341,EY341,VOMM,MAA,OMAA,AUH,ETD,EY,A321,1764726864,en-route,adsb
8961EA,A6-EIH,AE,24.4031,61.358014,10779,262.0,746,0,247,ETD247,EY247,VAAH,AMD,OMAA,AUH,ETD,EY,A320,1764726864,en-route,adsb
06A13C,A7-BAZ,QA,24.1257,68.388753,10459,92.4,1006,0,932,QTR932,QR932,OTHH,DOH,RPLL,MNL,QTR,QR,B77W,1764726864,en-route,adsb
AA7BD6,N775CK,US,54.561174,-127.406431,10771,104.6,1048,0,217,CKS217,K4217,PANC,ANC,KLAX,LAX,CKS,K4,B77L,1764726864,en-route,adsb
01025D,SU-GFY,EG,44.130924,16.762978,11297,139.0,964,0,996,MSR996,MS996,CYYZ,YYZ,HECA,CAI,MSR,MS,B789,1764726864,en-route,adsb
E480F9,PR-MHR,CL,-15.870632,-47.747596,2006,285.1,333,0,3259,LAN3259,LA3259,SBGR,GRU,SBBR,BSB,TAM,JJ,A320,1764726864,en-route,adsb
E49522,PR-XMX,BR,-20.243458,-47.433693,11670,352.9,856,0,1542,GLO1542,G31542,SBGR,GRU,SBBE,BEL,GLO,G3,B38M,1764726864,en-route,adsb
A3C2A9,N341SV,US,7.700956,-76.615477,12013,174.8,823,0,2197,AAL2197,AA2197,KMIA,MIA,SKCL,CLO,AAL,AA,B38M,1764726864,en-route,adsb
A369EE,N319TE,US,7.5136,-76.176545,11373,151.2,861,0,923,AAL923,AA923,KMIA,MIA,SKRG,MDE,AAL,AA,B38M,1764726864,en-route,adsb
0C4357,HI1104,DO,6.993004,-74.782699,12021,183.8,804,0,6172,DWI6172,DM6172,MDPC,PUJ,SCEL,SCL,DWI,DM,B38M,1764726864,en-route,adsb
E482C6,PT-MXE,CL,-4.963742,-59.235935,10406,321.1,905,0,3562,LAN3562,LA3562,SBGR,GRU,SBEG,MAO,TAM,JJ,A321,1764726864,en-route,adsb
A1B2A8,N2084J,US,10.017642,-60.295508,11335,162.5,859,0,1965,JBU1965,B61965,KJFK,JFK,SYCJ,GEO,JBU,B6,A21N,1764726864,en-route,adsb
C06151,C-GKWE,CA,50.996095,-118.196902,6672,229.0,592,0,3657,WJA3657,WS3657,CYEG,YEG,CYLW,YLW,WEN,WR,DH8D,1764726864,en-route,adsb
A7FDE4,N614CZ,US,46.898124,-122.049266,6481,172.4,790,0,4141,DAL4141,DL4141,KSEA,SEA,KRDM,RDM,SKW,OO,E75L,1764726864,en-route,adsb
ABC91F,N859DN,US,47.789697,-120.25915,10383,277.2,732,0,944,DAL944,DL944,KDTW,DTW,KSEA,SEA,DAL,DL,B739,1764726864,en-route,adsb
A364E7,N318DU,US,45.902946,-105.504647,9804,106.9,885,0,541,DAL541,DL541,KSEA,SEA,KIAD,IAD,DAL,DL,BCS3,1764726864,en-route,adsb
C06A7F,C-GOIO,CA,47.528281,-69.600283,10078,63.0,1029,0,206,TSC206,TS206,CYYZ,YYZ,EGCC,MAN,TSC,TS,A21N,1764726864,en-route,adsb
0D0E9B,XA-VYA,MX,28.766161,-111.536071,11335,319.5,759,0,7433,VIV7433,VB7433,MMGL,GDL,MMTJ,TIJ,VIV,VB,A320,1764726864,en-route,adsb
